%time,field.data
3266804000000,0.0
3267433000000,4.37991125414e-05
3267450000000,0.000161874598786
3267471000000,0.000334263678844
3267494000000,0.00054102133789
3267509000000,0.000762210571971
3267526000000,0.000977894202896
3267544000000,0.00116812820695
3267565000000,0.0013129565324
3267583000000,0.00139240740721
3267604000000,0.00138649116139
3267640000000,0.00127858869265
3267674000000,0.0007478476189
3267702000000,-0.000201118701571
3267735000000,-0.00156668822371
3267768000000,-0.00240530201479
3267803000000,-0.00439353835407
3267849000000,-0.0067500996684
3267884000000,-0.00924543652965
3267920000000,-0.0116017821338
3267958000000,-0.0135384032161
3267995000000,-0.0142610049765
3268035000000,-0.0150473687883
3268076000000,-0.014943148563
3268115000000,-0.0146075178656
3268118000000,-0.0141121651395
3268153000000,-0.0134792679333
3268192000000,-0.0118900650052
3268228000000,-0.0100190510716
3268262000000,-0.00797833435203
3268294000000,-0.0068566356265
3268296000000,-0.00563893614153
3268324000000,-0.00429535517317
3268357000000,-0.00110984260093
3268390000000,0.00294641972058
3268426000000,0.00538133534556
3268427000000,0.0081136712497
3268467000000,0.0110850524335
3268503000000,0.0174361815622
3268543000000,0.0238088718781
3268582000000,0.0268016296715
3268583000000,0.0295535899612
3268625000000,0.0319778676212
3268662000000,0.0355006754728
3268689000000,0.037044939674
3268738000000,0.0366962196498
3268776000000,0.0358538665724
3268810000000,0.0329329923994
3268847000000,0.0285099598349
3268881000000,0.0228084334438
3268915000000,0.0195978478865
3268915000000,0.016218211244
3268952000000,0.01272174889
3268988000000,0.00558453638994
3269025000000,-0.00140680081746
3269064000000,-0.00786408225627
3269102000000,-0.010796128896
3269102000000,-0.0134993590345
3269147000000,-0.0159518059959
3269193000000,-0.0200172693249
3269233000000,-0.0228190004576
3269276000000,-0.02418118046
3269321000000,-0.0240018762352
3269356000000,-0.0233978334379
3269357000000,-0.0225009851484
3269397000000,-0.021349136458
3269436000000,-0.0184338261414
3269473000000,-0.0149647646787
3269509000000,-0.0112651458865
3269548000000,-0.00942653983464
3269549000000,-0.00758429183988
3269589000000,-0.00572407318377
3269607000000,-0.00213866399528
3269652000000,-0.000504204326311
3269653000000,0.00096595344009
3269696000000,0.00324042122329
3269727000000,0.00396942937056
3269728000000,0.00442584944258
3269763000000,0.00463158836911
3269802000000,0.00438344149492
3269842000000,0.00341456253962
3269884000000,0.00271782689324
3269885000000,0.00190703603374
3269925000000,0.000998651668246
3269965000000,-0.00086391504499
3270004000000,-0.00265768241083
3270045000000,-0.00353324271957
3270046000000,-0.00438998451151
3270086000000,-0.00521830473899
3270125000000,-0.00672615420629
3270163000000,-0.00789514229188
3270200000000,-0.00834044899254
3270200000000,-0.00872314622212
3270229000000,-0.00906684493831
3270266000000,-0.00972916559144
3270299000000,-0.0105112652533
3270332000000,-0.0114156872668
3270369000000,-0.011893046057
3270374000000,-0.0123714358437
3270413000000,-0.0128225897486
3270453000000,-0.0135346311286
3270499000000,-0.0138206207784
3270539000000,-0.0134830923653
3270579000000,-0.012334431151
3270613000000,-0.0114302985341
3270616000000,-0.0103173307104
3270653000000,-0.00900469578683
3270694000000,-0.00581711048295
3270725000000,-0.001944031975
3270763000000,0.00253091825102
3270797000000,0.0049611161202
3270801000000,0.00747810715379
3270838000000,0.0100107954124
3270876000000,0.0148768822286
3270908000000,0.0192155453011
3270949000000,0.0227035988329
3270983000000,0.024024821027
3271015000000,0.025680872542
3271045000000,0.0260820052777
3271088000000,0.0253640726351
3271126000000,0.0246419317029
3271128000000,0.0237144877268
3271166000000,0.0226126768547
3271209000000,0.0199808029166
3271242000000,0.016840876291
3271281000000,0.0134932097721
3271317000000,0.0118360148304
3271357000000,0.00872958555377
3271390000000,0.0061276705772
3271428000000,0.00424938452379
3271459000000,0.00358266510941
3271460000000,0.0030888419624
3271491000000,0.00276352612908
3271529000000,0.00261137975318
3271562000000,0.00308167813281
3271598000000,0.00383697566769
3271635000000,0.0042746738455
3271641000000,0.00472961196561
3271681000000,0.00518206284706
3271720000000,0.00598973697709
3271760000000,0.00649410785218
3271803000000,0.0065581457821
3271804000000,0.00645245388766
3271843000000,0.00615660433907
3271877000000,0.00516865644827
3271912000000,0.00403023040175
3271952000000,0.00320883400669
3271991000000,0.00306625565067
3271994000000,0.00318298815168
3272035000000,0.00361989404459
3272076000000,0.00551896205061
3272112000000,0.0083564231807
3272150000000,0.0115522491781
3272185000000,0.0145328175859
3272222000000,0.0157646717564
3272225000000,0.0167301108567
3272261000000,0.0173791891874
3272293000000,0.0178737043744
3272325000000,0.0176394441757
3272367000000,0.0170850715061
3272402000000,0.0168145399985
3272403000000,0.016615537828
3272429000000,0.0165381129262
