%time,field.data
3266804000000,1.57792763576
3267433000000,1.57805427044
3267450000000,1.57837518671
3267471000000,1.5788019755
3267493000000,1.57924625395
3267509000000,1.57961961735
3267527000000,1.57983363959
3267544000000,1.57979992279
3267565000000,1.57943019595
3267583000000,1.57863646224
3267604000000,1.5773311938
3267639000000,1.5754563583
3267674000000,1.57025827047
3267702000000,1.56370772423
3267731000000,1.55649659487
3267767000000,1.55285799464
3267803000000,1.54594058825
3267848000000,1.54053248217
3267884000000,1.53962906808
3267920000000,1.54670861619
3267958000000,1.56538122436
3267994000000,1.5802772389
3268035000000,1.62371367501
3268077000000,1.68424958132
3268115000000,1.71925704355
3268118000000,1.75642967205
3268153000000,1.79495186713
3268191000000,1.87236081974
3268228000000,1.92
3268262000000,1.92
3268294000000,1.92
3268296000000,1.92
3268324000000,1.92
3268357000000,1.90424108362
3268390000000,1.79055354315
3268426000000,1.72762832488
3268426000000,1.66332139673
3268467000000,1.59964507318
3268503000000,1.48122665801
3268543000000,1.38468070887
3268582000000,1.34799926832
3268583000000,1.32080246255
3268625000000,1.30444770212
3268662000000,1.30947299506
3268689000000,1.36238185222
3268741000000,1.45246327227
3268776000000,1.50807148137
3268811000000,1.63314698725
3268847000000,1.76508596058
3268881000000,1.88730859036
3268915000000,1.92
3268915000000,1.92
3268952000000,1.92
3268986000000,1.92
3269025000000,1.92
3269064000000,1.92
3269102000000,1.91709739401
3269102000000,1.88701429311
3269147000000,1.85804827833
3269193000000,1.80739146482
3269233000000,1.77243148213
3269276000000,1.76016083506
3269322000000,1.77534452403
3269356000000,1.79171714167
3269357000000,1.8126770919
3269398000000,1.83728193483
3269436000000,1.89348928597
3269473000000,1.92
3269509000000,1.92
3269548000000,1.92
3269549000000,1.92
3269589000000,1.92
3269607000000,1.92
3269653000000,1.92
3269657000000,1.87356467707
3269696000000,1.7554438179
3269727000000,1.6927228713
3269728000000,1.63015723646
3269763000000,1.56959928761
3269801000000,1.46081237344
3269841000000,1.37770275162
3269884000000,1.34904437386
3269885000000,1.33074606841
3269925000000,1.32421933789
3269965000000,1.34801815801
3270003000000,1.41265467677
3270045000000,1.45703290837
3270046000000,1.50771436794
3270086000000,1.56331839151
3270125000000,1.68310474232
3270163000000,1.80197928593
3270200000000,1.85640321119
3270200000000,1.90526377111
3270229000000,1.92
3270265000000,1.92
3270300000000,1.92
3270332000000,1.92
3270369000000,1.92
3270374000000,1.91441035251
3270413000000,1.89056746643
3270453000000,1.8461967535
3270499000000,1.81226479717
3270539000000,1.79556387179
3270579000000,1.80269781933
3270613000000,1.81554091305
3270616000000,1.83338391192
3270653000000,1.85528078745
3270694000000,1.90734672399
3270725000000,1.92
3270763000000,1.92
3270796000000,1.92
3270801000000,1.92
3270838000000,1.92
3270876000000,1.92
3270908000000,1.92
3270949000000,1.81655359459
3270983000000,1.75407064068
3271015000000,1.62654970427
3271045000000,1.50773630249
3271089000000,1.4096304794
3271126000000,1.37159744223
3271128000000,1.34257690184
3271166000000,1.32384477514
3271208000000,1.32218491014
3271243000000,1.36619845816
3271281000000,1.44550211497
3271317000000,1.49512033348
3271357000000,1.60731585973
3271391000000,1.72587737285
3271428000000,1.83556865498
3271459000000,1.8825924744
3271462000000,1.92
3271492000000,1.92
3271529000000,1.92
3271562000000,1.92
3271598000000,1.8770774744
3271635000000,1.84244554121
3271641000000,1.80564043638
3271681000000,1.76759194923
3271720000000,1.69103181502
3271760000000,1.61854317665
3271803000000,1.58536746385
3271804000000,1.55497949276
3271843000000,1.52775113666
3271877000000,1.48168104258
3271912000000,1.44449888952
3271952000000,1.41375907697
3271992000000,1.40010718673
3271994000000,1.3872500162
3272035000000,1.37493506997
3272076000000,1.35133935092
3272112000000,1.32930588932
3272150000000,1.30919227668
3272185000000,1.29133745998
3272222000000,1.28335910018
3272225000000,1.27606671608
3272260000000,1.26949169297
3272293000000,1.25848072833
3272325000000,1.25027046479
3272368000000,1.24481601756
3272402000000,1.24311345335
3272403000000,1.2420917948
3272429000000,1.24175101953
